Date,Open,High,Low,Close,Volume,Adj Close,Symbol
2011-11-17,186.809998,188.830002,183.389999,185.729996,5840500,161.900791,IBM
2011-11-18,186.71000700000002,186.970001,184.66000400000001,185.240005,4440900,161.473667,IBM
2011-11-21,183.369995,183.96000700000002,180.0,181.479996,5145100,158.196067,IBM
2011-11-22,182.220001,182.979996,180.28999299999998,181.309998,4178600,158.04788,IBM
2011-11-23,180.669998,181.490005,177.520004,177.949997,4800900,155.118968,IBM
2011-11-25,178.009995,179.559998,177.059998,177.059998,2232800,154.343156,IBM
2011-11-28,182.71000700000002,182.929993,180.669998,182.21000700000002,4524200,158.832417,IBM
2011-11-29,182.020004,183.309998,180.83999599999999,180.940002,3661600,157.725355,IBM
2011-11-30,184.570007,188.350006,184.21000700000002,188.0,7836800,163.87955300000002,IBM
2011-12-01,187.009995,189.990005,186.770004,189.449997,4858800,165.14351499999998,IBM
2011-12-02,189.919998,191.330002,189.449997,189.66000400000001,4962200,165.326578,IBM
2011-12-05,191.179993,193.610001,190.380005,190.83999599999999,5699400,166.355177,IBM
2011-12-06,190.649994,193.529999,190.320007,192.940002,4144900,168.185752,IBM
2011-12-07,191.990005,194.899994,191.279999,194.050003,5081700,169.153339,IBM
2011-12-08,192.479996,193.800003,191.070007,191.580002,4369000,167.00024,IBM
2011-12-09,192.91000400000001,194.869995,192.399994,194.559998,4847900,169.597901,IBM
2011-12-12,193.639999,193.899994,191.220001,192.179993,3796100,167.523252,IBM
2011-12-13,193.46000700000002,194.300003,190.639999,191.149994,5008400,166.625402,IBM
2011-12-14,189.83999599999999,190.279999,188.0,188.720001,5057700,164.507178,IBM
2011-12-15,190.479996,191.199997,186.889999,187.479996,4474500,163.426265,IBM
2011-12-16,188.009995,188.009995,181.91000400000001,183.570007,11849400,160.01793,IBM
2011-12-19,184.509995,184.690002,182.25,182.889999,5039900,159.425167,IBM
2011-12-20,185.5,187.330002,184.759995,187.240005,4740100,163.217066,IBM
2011-12-21,183.220001,183.5,179.03999299999998,181.470001,9282500,158.187355,IBM
2011-12-22,182.71000700000002,182.800003,181.0,182.03999299999998,5052000,158.684217,IBM
2011-12-23,183.110001,184.850006,181.889999,184.75,3052300,161.046529,IBM
2011-12-27,184.970001,185.850006,184.389999,184.949997,2775200,161.220866,IBM
2011-12-28,185.190002,185.399994,183.33999599999999,183.990005,2872000,160.384042,IBM
2011-12-29,184.070007,186.229996,184.009995,186.179993,2941600,162.29305300000001,IBM
2011-12-30,186.330002,186.479996,183.850006,183.880005,3530900,160.288154,IBM
2012-01-03,186.729996,188.71000700000002,186.0,186.300003,5646000,162.397666,IBM
2012-01-04,185.570007,186.330002,184.940002,185.53999299999998,4346700,161.735166,IBM
2012-01-05,184.809998,185.029999,183.100006,184.66000400000001,4463100,160.96807900000002,IBM
2012-01-06,184.389999,184.479996,182.309998,182.53999299999998,4897100,159.120067,IBM
2012-01-09,182.199997,182.270004,180.270004,181.58999599999999,5201200,158.291954,IBM
2012-01-10,183.229996,183.720001,181.199997,181.309998,5161000,158.04788,IBM
2012-01-11,180.729996,182.809998,180.5,182.320007,4110800,158.928305,IBM
2012-01-12,181.860001,181.91000400000001,178.380005,180.550003,6881000,157.385393,IBM
2012-01-13,179.479996,179.610001,177.350006,179.16000400000001,5279200,156.17373,IBM
2012-01-17,180.360001,182.0,179.320007,180.0,6003400,156.905955,IBM
2012-01-18,179.830002,181.600006,179.5,181.070007,4600600,157.83868,IBM
2012-01-19,181.78999299999998,182.360001,180.350006,180.520004,8567200,157.359243,IBM
2012-01-20,185.770004,188.970001,184.75,188.520004,12849700,164.332841,IBM
2012-01-23,187.91000400000001,190.520004,187.669998,189.979996,5751700,165.605515,IBM
2012-01-24,188.630005,192.300003,188.520004,191.929993,5345700,167.305327,IBM
2012-01-25,191.330002,192.240005,189.610001,191.729996,4359700,167.130989,IBM
2012-01-26,191.78999299999998,192.78999299999998,190.470001,190.979996,4004700,166.477215,IBM
2012-01-27,190.009995,191.770004,189.809998,190.46000700000002,3360400,166.02393999999998,IBM
2012-01-30,189.389999,192.729996,188.220001,192.5,4359000,167.802202,IBM
2012-01-31,193.08999599999999,193.100006,191.0,192.600006,4826800,167.889377,IBM
2012-02-01,193.21000700000002,194.809998,192.41000400000001,192.619995,5088800,167.906802,IBM
2012-02-02,192.720001,193.330002,191.330002,191.529999,3907300,166.956652,IBM
2012-02-03,192.929993,194.130005,192.53999299999998,193.639999,4521700,168.79593899999998,IBM
2012-02-06,192.479996,193.759995,192.0,192.820007,3639800,168.081152,IBM
2012-02-07,192.449997,194.139999,191.970001,193.350006,3433000,168.543152,IBM
2012-02-08,192.779999,193.580002,191.729996,192.949997,3803800,168.84943,IBM
2012-02-09,193.029999,194.46000700000002,192.550003,193.130005,3876400,169.006954,IBM
2012-02-10,191.759995,192.429993,191.279999,192.419998,3391100,168.38563100000002,IBM
2012-02-13,193.309998,193.690002,191.740005,192.619995,2458800,168.560647,IBM
